,Current Ranking,Last Week's Ranking,Song Title,Artist,Peak Position,Num Weeks in TOP 100,,,
0,1,1,DDU-DU DDU-DU,BLACKPINK,1,3,,Excel IF function,blackpink is num 1
1,2,--,Dejavu,NU'EST W,2,1,,,
2,3,3,Travel,BOL4,1,6,,Red = longer on top 100,
3,4,2,Forever Young,BLACKPINK,2,3,,Green = newer on top 100,
4,5,4,Only One For Me,BTOB,4,2,,,
5,6,--,Polaris,NU'EST W,6,1,,Vlookup,2
6,7,5,Bingle Bangle,AOA,3,5,,Song Title,Dejavu
7,8,--,Signal,NU'EST W,8,1,,Artist,NU'EST W
8,9,--,Ylenol,NU'EST W,9,1,,Peak Position,2
9,10,--,Gravity & Moon,NU'EST W,10,1,,Ranking last week,1
10,11,--,Shadow,NU'EST W,11,1,,Num weeks in top 100,--
11,12,7,Fake Love,BTS,1,7,,,
12,13,6,Light,Wanna One,3,4,,Index and Match,
13,14,9,Time For The Moon Night,GFriend,3,9,,Enter Rank,23
14,15,11,Pass By,Nilo,2,11,,Song Title,Kangaroo
15,16,16,Don't Give It To Me,Loco x Hwa Sa,1,11,,Artist,Wanna One
16,17,25,"Every Day, Every Moment",Paul Kim,17,14,,Peak Position,4
17,18,14,Latata,(G)I-DLE,12,8,,Ranking last week,23
18,19,--,Lock You Down (Special Track),SHINee,19,1,,Num weeks in top 100,4
19,20,17,Bboom Bboom,MOMOLAND,2,25,,,
20,21,22,Love Scenario,iKON,1,19,,,
21,22,24,What Is Love?,TWICE,1,11,,,
22,23,23,Kangaroo,Wanna One,4,4,,,
23,24,27,You,Melomance,6,18,,,
24,25,31,Roller Coaster,Chung Ha,6,24,,,
25,26,28,Starry Night,MAMAMOO,1,17,,,
26,27,32,Only Then,Roy Kim,2,20,,,
27,28,34,Sudden Shower,"Yong Jun Hyung, 10cm",9,14,,,
28,29,33,Good Old Days,Jang Deok Cheol,1,29,,,
29,30,30,The Truth Untold,BTS Featuring Steve Aoki,2,7,,,
30,31,8,Really,BLACKPINK,8,3,,,
31,32,29,Good Evening,SHINee,15,5,,,
32,33,37,Gift,Melomance,2,29,,,
33,34,38,Boong Boong,"HAON Feat. Sik-K, Prod. GroovyRoom",3,11,,,
34,35,40,My Way,ISU,18,8,,,
35,36,41,DNA,BTS,1,29,,,
36,37,--,Baam,MOMOLAND,37,1,,,
37,38,53,"Love, ing",Ben,38,7,,,
38,39,10,See U Later,BLACKPINK,10,3,,,
39,40,36,Hourglass,Wanna One - The Hill,6,4,,,
40,41,48,Spring Day,BTS,28,29,,,
41,42,12,The Feeling,BTOB,12,3,,,
42,43,55,Through The Night,IU,21,29,,,
43,44,43,Flower Road,BIGBANG,2,15,,,
44,45,52,Sorrow In Vain,Nilo,28,13,,,
45,46,45,Everyday,WINNER,3,13,,,
46,47,15,Something New,TAEYEON,15,2,,,
47,48,--,Our Page,SHINee,48,1,,,
48,49,69,"You, Clouds, Rain ",Heize Feat. Shin Yong Jae,30,29,,,
49,50,47,Anpanman,BTS,5,7,,,
50,51,61,Red Flavor,Red Velvet,40,29,,,
51,52,56,Boomerang,Wanna One,1,14,,,
52,53,44,I Want You,SHINee,9,3,,,
53,54,51,When Autumn Comes,Monday Kiz,28,29,,,
54,55,42,Bittersweet,CRUSH,4,8,,,
55,56,49,Just Friends,Melomance,4,10,,,
56,57,54,Missing You,BTOB,16,29,,,
57,58,64,Star,GB9,16,29,,,
58,59,65,Lie,Yang Da Il,41,26,,,
59,60,60,Energetic,Wanna One,31,29,,,
60,61,46,Shine,Pentagon,24,9,,,
61,62,67,As If It's Your Last,BLACKPINK,43,29,,,
62,63,68,When Night Is Falling,Punch,38,8,,,
63,64,88,Home Shit Home,Simon Dominic Feat. JINBO the superfreak,64,2,,,
64,65,50, Forever+1,"Wanna One-Lean On Me, Prod. NELL",9,4,,,
65,66,57,Bad Boy,Red Velvet,2,22,,,
66,67,71,Beautiful,Wanna One,8,29,,,
67,68,62,"Airplane, Pt.2",BTS,6,7,,,
68,69,63,End of The Night,Punch,34,5,,,
69,70,70,Like It,Yoon Jong-Shin,10,29,,,
70,71,66,Bar Code,HAON Feat. Vinxen (Prod. GroovyRoom),4,14,,,
71,72,76,Only We Know,Yoon Gun,67,14,,,
72,73,91,Jung Jin-Chul,Simon Dominic,73,2,,,
73,74,74,Heart Shaker,TWICE,1,29,,,
74,75,59,Really Really,WINNER,35,29,,,
75,76,--,Rain,Paul Kim,76,16,,,
76,77,58,1-1=0 (Nothing Without You),Wanna One,11,4,,,
77,78,73,Magic Shop,BTS,6,7,,,
78,79,72,Paradise,BTS,3,7,,,
79,80,75,Love Maze,BTS,5,7,,,
80,81,77,Jenga,"Heize, Gaeko",4,17,,,
81,82,78,all of my life,Park One,66,5,,,
82,83,81,We Are ,Woo Won Jae Feat. Loco & GRAY,20,29,,,
83,84,84,I Promise You (I.P.U.),Wanna One,4,17,,,
84,85,80,The Snowman,Jung Sueung Hwan,6,20,,,
85,86,79,134340,BTS,4,7,,,
86,87,--,Because I Only See You,Kim Na Young,87,1,,,
87,88,82,Instagram,DEAN,2,27,,,
88,89,86,Miss Fortune ,OVAN Feat. VINXEN,86,3,,,
89,90,83,Breakup In The Morning,4Men,30,29,,,
90,91,85,So What,BTS,9,7,,,
91,92,90,Adult,Sondia,54,11,,,
92,93,97,I Will Go To You Like The First Snow,Ailee,30,29,,,
93,94,--,Universe,EXO,1,23,,,
94,95,93,Contrail,MoonMoon,4,29,,,
95,96,95,Blooming Day,EXO-CBX,16,11,,,
96,97,87,Lonely,BOL4,40,6,,,
97,98,92,Asian Drum,"WEBSTER B Feat. CHIN CHILLA, SLO",29,8,,,
98,99,94,Likey,TWICE,9,29,,,
99,100,--,I'll Give It All To You,"Kim Jong Gook, Hwang Chi Yeul, UV, Loco, GRAY",100,1,,,
